App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Current Ver,Android Ver,Revenue_Estimate,Cluster,Review_Sentiment
Android P | Xperia™ Theme 4800+ icons,PERSONALIZATION,4.6,29.0,39.0,100,Paid,1.99,Everyone,Personalization,1.0.0,6.0 and up,199.0,4,0.0
Android P Home KLWP,PERSONALIZATION,4.3,0.0,2.1,5,Paid,1.49,Everyone,Personalization,v2018.Apr.12.16,5.0 and up,7.45,0,0.0
P-Home for KLWP,PERSONALIZATION,5.0,4.0,12.0,100,Paid,0.99,Everyone,Personalization,v2018.May.15.14,5.0 and up,99.0,0,0.0
[Sub/EMUI] P Pro - EMUI 8.1/8.0/5.X Theme,PERSONALIZATION,4.0,13.0,19.0,100,Paid,0.99,Everyone,Personalization,H7SubTV0.1_TV0.4,7.0 and up,99.0,0,0.0
Pacify Exceed (Android P) - Theme for Xperia™,PERSONALIZATION,4.3,5.0,1.9,10,Paid,1.49,Everyone,Personalization,1.2.A.Exceed.Paid,6.0 and up,14.9,0,0.0
Theme Android P Design for LG V30,PERSONALIZATION,4.2,35.0,5.2,500,Paid,1.49,Everyone,Personalization,1.33,7.0 and up,745.0,3,0.0
Pistachio Launcher for Android P 9.0,PERSONALIZATION,4.3,0.0,2.3,1,Paid,1.49,Everyone,Personalization,1.0.2,4.1 and up,1.49,0,0.0
Theme Android P for LG G7 & V35,PERSONALIZATION,4.6,5.0,4.5,100,Paid,1.49,Everyone,Personalization,1.1,8.0 and up,149.0,0,0.0
Pacify (Android P theme) - Theme for Xperia™,PERSONALIZATION,4.3,1.0,1.8,10,Paid,0.99,Everyone,Personalization,1.0.B+.Exceed.Paid,5.0 and up,9.9,0,0.0
Popsicle Launcher for Android P 9.0 launcher,PERSONALIZATION,4.3,0.0,5.5,0,Paid,1.49,Everyone,Personalization,1.1,4.2 and up,0.0,0,0.0
Theme Android P Black design for LG V30,PERSONALIZATION,4.4,8.0,6.2,100,Paid,1.49,Everyone,Personalization,1.1,7.0 and up,149.0,0,0.0
Theme Android P Black for LG G7 & V35,PERSONALIZATION,4.6,5.0,4.3,100,Paid,1.49,Everyone,Personalization,1.3,7.0 and up,149.0,0,0.0
Pureness Pacify (Android P) - Theme for Xperia™,PERSONALIZATION,4.3,0.0,3.6,1,Paid,1.49,Everyone,Personalization,1.2.A.Exceed.Paid,6.0 and up,1.49,0,0.0
Android P Style Icon Pack,PERSONALIZATION,5.0,1.0,60.0,100,Paid,0.99,Everyone,Personalization,1.0,4.1 and up,99.0,4,0.0
pretty Easy privacy p≡p,COMMUNICATION,3.7,21.0,20.0,500,Paid,0.99,Everyone,Communication,1.0.100rc1.withoutKeysync,5.0 and up,495.0,3,0.0
P Icon Pack,FAMILY,4.3,0.0,21.0,10,Paid,0.99,Everyone,Entertainment,1.0.6,4.0.3 and up,9.9,0,0.0
Q Avatar Pro,FAMILY,4.8,4.0,3.6,100,Paid,1.49,Teen,Entertainment,1.3.5,2.3 and up,149.0,0,0.0
Q-slope,TOOLS,4.5,2.0,3.9,50,Paid,1.76,Everyone,Tools,5.0,4.3 and up,88.0,0,0.0
Neon-R (Red),PERSONALIZATION,4.7,25.0,41.0,100,Paid,0.99,Everyone,Personalization,1.0,4.0.3 and up,99.0,4,0.0
Shopping List S PRO,SHOPPING,4.8,14.0,2.7,100,Paid,2.49,Everyone,Shopping,2.10,4.1 and up,249.00000000000003,0,0.0
FORD V SERIES CALC - NO LIMIT,AUTO_AND_VEHICLES,4.3,2.0,17.0,50,Paid,9.99,Everyone,Auto & Vehicles,3.0.0,4.0 and up,499.5,0,0.0
W Pro - Weather Forecast & Animated Weather Maps,WEATHER,3.8,11.0,2.9,500,Paid,1.99,Everyone,Weather,1.0,4.1 and up,995.0,3,0.0
iLauncher OS 12 Pro - Phone X,PERSONALIZATION,4.3,3.0,9.6,50,Paid,2.99,Everyone,Personalization,1.0.1,4.1 and up,149.5,0,0.0
Cardio Z,MEDICAL,4.3,24.0,10.0,100,Paid,5.99,Everyone,Medical,1.0.2.1,4.4 and up,599.0,0,0.0
Z PIVOT,COMMUNICATION,4.3,0.0,5.7,10,Paid,19.99,Everyone,Communication,1.3,4.2 and up,199.89999999999998,0,0.0
Ad Removal: thereisonlywe,PRODUCTIVITY,3.4,16.0,0.293,100,Paid,6.49,Everyone,Productivity,1.0,2.2 and up,649.0,0,0.0
Easy Hotspot Ad Free,TOOLS,5.0,2.0,3.3,10,Paid,0.99,Everyone,Tools,1.05,4.0 and up,9.9,0,0.0
AF-STROKE,MEDICAL,4.3,5.0,0.902,100,Paid,5.0,Teen,Medical,1.3,2.1 and up,500.0,0,0.0
"AG Contacts, Premium edition",COMMUNICATION,4.5,88.0,3.7,500,Paid,4.99,Everyone,Communication,8.05.18.14250,4.0.3 and up,2495.0,3,0.0
Michael's AG Sound Board,FAMILY,4.3,0.0,1.7,1,Paid,0.99,Everyone,Entertainment,1.1,1.6 and up,0.99,0,0.0
AH Alarm Panel,TOOLS,3.9,7.0,0.081,100,Paid,4.99,Everyone,Tools,1.2.0,1.5 and up,499.0,0,0.0
Message AI - Write Better Messages,TOOLS,4.3,0.0,7.9,100,Paid,2.99,Mature 17+,Tools,1.3.1,5.0 and up,299.0,0,0.0
Age of AI: War Strategy,FAMILY,4.6,71.0,5.7,500,Paid,2.49,Everyone,Strategy,1.8,4.0 and up,1245.0,3,0.0
Hey AJ! It's Saturday!,BOOKS_AND_REFERENCE,5.0,12.0,50.0,100,Paid,3.99,Everyone,Books & Reference,1.0.0,2.2 and up,399.0,4,0.0
Hey AJ! It's Bedtime!,FAMILY,5.0,1.0,63.0,10,Paid,4.99,Everyone,Education,1.0.59,2.3 and up,49.900000000000006,4,0.0
Watch Face Swiss AJ-6,PERSONALIZATION,4.1,21.0,3.6,100,Paid,0.99,Everyone,Personalization,1.35,4.3 and up,99.0,0,0.0
AJ Gray Icon Pack,PERSONALIZATION,4.8,5.0,35.0,50,Paid,0.99,Everyone,Personalization,1.1,4.1 and up,49.5,0,0.0
AJ Gray Dark Icon Pack,PERSONALIZATION,5.0,2.0,35.0,10,Paid,0.99,Everyone,Personalization,1.1,4.1 and up,9.9,0,0.0
AJ Blue Icon Pack,PERSONALIZATION,5.0,4.0,31.0,50,Paid,0.99,Everyone,Personalization,1.1,4.1 and up,49.5,0,0.0
AJ Turquoise Dark Icon Pack,PERSONALIZATION,4.3,0.0,32.0,10,Paid,0.99,Everyone,Personalization,1.1,4.1 and up,9.9,0,0.0
AJ Orange Icon Pack,PERSONALIZATION,4.3,0.0,30.0,10,Paid,0.99,Everyone,Personalization,1.1,4.1 and up,9.9,0,0.0
Ak Parti Yardım Toplama,SOCIAL,4.3,0.0,8.7,0,Paid,13.99,Teen,Social,3.4.4.3.3,4.1 and up,0.0,0,0.0
"ap,wifi testing,iperf,ping,android,Bluetooth,tcp",TOOLS,4.7,3.0,5.3,10,Paid,2.99,Everyone,Tools,1.0.15,4.4 and up,29.900000000000002,0,0.0
500 AP World History Questions,FAMILY,4.7,7.0,1.2,100,Paid,9.99,Everyone,Education,1.2,1.6 and up,999.0,0,0.0
AP Themes for Kustom/KLWP,PERSONALIZATION,3.6,5.0,45.0,500,Paid,1.49,Everyone,Personalization,1.8.2,4.4 and up,745.0,3,0.0
iScore5 AP Psych,FAMILY,2.9,10.0,73.0,100,Paid,4.99,Everyone,Educational,2.0,4.0.3 and up,499.0,4,0.0
Glanceable Ap Watch Face,PERSONALIZATION,4.3,0.0,11.0,5,Paid,0.99,Everyone,Personalization,1.0.103,4.4 and up,4.95,0,0.0
meStudying: AP English Lit,FAMILY,5.0,1.0,0.655,10,Paid,4.99,Everyone,Education,1.3,2.0.1 and up,49.900000000000006,0,0.0
AP Series Solution Pro,FAMILY,4.3,0.0,7.4,0,Paid,1.99,Everyone,Education,1.3,4.0 and up,0.0,0,0.0
AP Art History Flashcards,FAMILY,5.0,1.0,96.0,10,Paid,29.99,Mature 17+,Education,3.30,4.0 and up,299.9,4,0.0
AQ Math Facts,FAMILY,4.3,1.0,16.0,1,Paid,2.99,Everyone,Educational,1.0.3,4.0 and up,2.99,0,0.0
AW Toolbox,BUSINESS,4.3,3.0,13.0,100,Paid,19.9,Everyone,Business,1.6.2,4.0 and up,1989.9999999999998,0,0.0
Analog and Digital Clock AW-7PRO,TOOLS,4.3,4.0,2.7,100,Paid,1.99,Everyone,Tools,2.0,4.3 and up,199.0,0,0.0
INTERACTIVE CALCULUS PRO,FAMILY,4.3,0.0,3.3,10,Paid,0.99,Everyone,Education,1.2,4.0.3 and up,9.9,0,0.0
AX Watch for WatchMaker,PERSONALIZATION,4.3,2.0,0.238,1,Paid,0.99,Everyone,Personalization,1.0,2.3 and up,0.99,0,0.0
¡Ay Caramba!,FAMILY,4.3,0.0,0.549,1,Paid,1.99,Everyone,Education,1.2,3.0 and up,1.99,0,0.0
Ay Yıldız - Xperia Live Theme,PERSONALIZATION,4.3,0.0,2.9,10,Paid,0.99,Everyone,Personalization,1.0.0,4.4 and up,9.9,0,0.0
YAKALA AY,GAME,4.3,0.0,14.0,1,Paid,0.99,Everyone,Arcade,1.0,4.1 and up,0.99,0,0.0
Financial Calculator BA Chien.,FINANCE,4.2,23.0,0.954,500,Paid,3.99,Everyone,Finance,1.9.10,3.0 and up,1995.0,3,0.0
Ra Ga Ba,GAME,5.0,2.0,20.0,1,Paid,1.49,Everyone,Arcade,1.0.4,2.3 and up,1.49,0,0.0
Alif Ba Ta Bullseye,FAMILY,4.3,1.0,16.0,5,Paid,1.99,Everyone,Educational,1.1,2.2 and up,9.95,0,0.0
Learn Quran with Elif Ba,FAMILY,4.3,3.0,12.0,100,Paid,1.49,Everyone,Education,1.2,2.3 and up,149.0,0,0.0
PROFESSOR SEE-BA LINGUAGENS E SUAS TECNOLOGIAS,PRODUCTIVITY,4.3,0.0,3.7,10,Paid,2.99,Everyone,Productivity,1.0,4.0 and up,29.900000000000002,0,0.0
Ain Arabic Kids Alif Ba ta,FAMILY,4.3,0.0,33.0,0,Paid,2.99,Everyone,Education,1.0,3.0 and up,0.0,0,0.0
Ice Crush 10.000 B.C.,FAMILY,4.4,31.0,4.2,100,Paid,0.99,Everyone,Casual,1.48,2.0 and up,99.0,0,0.0
BC MVA Fines,BOOKS_AND_REFERENCE,5.0,5.0,7.2,50,Paid,1.75,Everyone,Books & Reference,1.0,4.1 and up,87.5,0,0.0
Car Driving Theory Test BC,FAMILY,4.3,0.0,2.2,10,Paid,1.49,Everyone,Education,1.0,2.1 and up,14.9,0,0.0
Truck Driving Test Class 3 BC,FAMILY,1.0,1.0,2.0,50,Paid,1.49,Everyone,Education,1.0,2.1 and up,74.5,0,0.0
BG Monitor Diabetes Pro,MEDICAL,4.6,87.0,2.8,500,Paid,5.99,Everyone,Medical,8.0.1,4.4 and up,2995.0,3,0.0
Es-Bg Offline Voice Translator,TRAVEL_AND_LOCAL,4.3,1.0,87.0,10,Paid,1.49,Everyone,Travel & Local,2.55,3.0 and up,14.9,4,0.0
CSCS BG (в български),FAMILY,2.4,7.0,2.1,100,Paid,3.99,Everyone,Education,1.0,4.0.3 and up,399.0,0,0.0
BI Barcode Scanner,PRODUCTIVITY,4.3,0.0,0.473,10,Paid,0.99,Everyone,Productivity,2.2,2.2 and up,9.9,0,0.0
BJ Bridge Pro 2018,GAME,4.4,17.0,4.8,500,Paid,4.49,Everyone,Card,6.2-pro,4.0 and up,2245.0,3,0.0
Blackjack Verite Drills,GAME,4.6,17.0,4.7,100,Paid,14.0,Teen,Casino,1.1.10,3.0 and up,1400.0,0,0.0
Phonics Puzzles,FAMILY,3.8,4.0,54.0,100,Paid,2.99,Everyone,Educational,1.8.2,2.3 and up,299.0,4,0.0
SLANGY-Perfect BK World Theme,PERSONALIZATION,4.3,1.0,14.0,50,Paid,4.85,Everyone,Personalization,1.0,2.2 and up,242.49999999999997,0,0.0
Bk Bee Sales Manager,BUSINESS,4.3,0.0,2.1,5,Paid,0.99,Everyone,Business,1.0,4.1 and up,4.95,0,0.0
Chess of Blades (BL/Yaoi Game) (No VA),FAMILY,4.8,4.0,23.0,10,Paid,14.99,Teen,Casual,1.03,2.3.3 and up,149.9,0,0.0
BL 1-Click Camera,PHOTOGRAPHY,4.3,4.0,1.4,100,Paid,3.99,Everyone,Photography,2.0.160818,2.3 and up,399.0,0,0.0
BL File Explorer,TOOLS,4.3,1.0,0.421,50,Paid,1.99,Everyone,Tools,1.5.140718,1.5 and up,99.5,0,0.0
BL IP-Camera,TOOLS,4.3,15.0,1.2,100,Paid,3.99,Everyone,Tools,1.3.140606,2.3 and up,399.0,0,0.0
BL Holo Theme,PERSONALIZATION,4.4,18.0,2.1,500,Paid,2.0,Everyone,Personalization,1.0.3,2.1 and up,1000.0,3,0.0
BL PowerPoint Remote,TOOLS,4.3,33.0,1.0,500,Paid,3.99,Everyone,Tools,2.6.150226,2.3 and up,1995.0,3,0.0
BatControl Pro,TOOLS,4.9,83.0,3.1,500,Paid,3.99,Everyone,Tools,2.0.0,5.0 and up,1995.0,3,0.0
Sam.BN Pro,TOOLS,4.3,11.0,2.0,10,Paid,0.99,Everyone,Tools,1.0.0,4.0.3 and up,9.9,0,0.0
Sic Bo,GAME,4.3,1.0,11.0,100,Paid,1.99,Teen,Card,1.0.0,2.2 and up,199.0,0,0.0
Dr.Dice - Sic bo analyzer,FAMILY,4.3,2.0,8.5,10,Paid,46.99,Everyone,Entertainment,1.0,4.0.3 and up,469.90000000000003,0,0.0
Socle Commun BO du 23-04-2015,LIBRARIES_AND_DEMO,4.3,4.0,4.7,100,Paid,0.99,Everyone,Libraries & Demo,0.0.1,4.1 and up,99.0,0,0.0
Monitor My BP,HEALTH_AND_FITNESS,4.3,0.0,4.6,50,Paid,5.99,Everyone,Health & Fitness,2.0.1,4.0 and up,299.5,0,0.0
BP Fitness Lead Scanner,EVENTS,4.3,0.0,6.7,1,Paid,109.99,Everyone,Events,0.0.1,4.1 and up,109.99,0,0.0
cronometra-br,PRODUCTIVITY,4.3,0.0,5.4,0,Paid,154.99,Everyone,Productivity,1.0.0,4.1 and up,0.0,0,0.0
BS Match Maker Premium,TOOLS,4.3,3.0,0.319,10,Paid,0.99,Everyone,Tools,1.11.2,5.0 and up,9.9,0,0.0
BS Detector - Diss 'n' Gauges,FAMILY,4.3,0.0,0.842,50,Paid,1.49,Everyone,Entertainment,1.3,2.2 and up,74.5,0,0.0
BT Speed,SPORTS,4.3,3.0,0.948,10,Paid,4.8,Everyone,Sports,1.0.1,4.0.3 and up,48.0,0,0.0
USB BT Wi-Fi Color Terminal Modem,TOOLS,4.3,0.0,7.3,5,Paid,8.99,Everyone,Tools,5.3,3.2 and up,44.95,0,0.0
SkyTest BU/GU Lite,BUSINESS,2.9,28.0,20.0,500,Paid,17.99,Everyone,Business,2.0.5,3.0 and up,8995.0,3,0.0
Bitcoin BX Thailand PRO,FINANCE,1.7,21.0,21.0,100,Paid,4.99,Everyone,Finance,5.0,4.0.3 and up,499.0,0,0.0
California Cop Assist CA Cop,PRODUCTIVITY,3.0,5.0,7.0,100,Paid,4.99,Everyone,Productivity,1.3,2.2 and up,499.0,0,0.0
CA Speakers,LIFESTYLE,5.0,12.0,1.2,100,Paid,0.99,Teen,Lifestyle,1.0,3.0 and up,99.0,0,0.0
CB Frequencies,TOOLS,4.0,5.0,1.4,100,Paid,0.99,Everyone,Tools,1.0,4.0.3 and up,99.0,0,0.0
Antenna Tool Premium,TOOLS,4.5,14.0,2.9,500,Paid,0.99,Everyone,Tools,2.2,4.0.3 and up,495.0,3,0.0
Frequencies,TOOLS,4.2,11.0,3.1,500,Paid,0.99,Everyone,Tools,1.9,4.0.3 and up,495.0,3,0.0
Билеты ПДД CD 2019 PRO,AUTO_AND_VEHICLES,4.3,21.0,16.0,100,Paid,1.49,Everyone,Auto & Vehicles,1.49,4.0 and up,149.0,0,0.0
TI-84 CE Graphing Calculator Manual TI 84,FAMILY,5.0,1.0,27.0,100,Paid,4.99,Everyone,Education,1.5.2,4.1 and up,499.0,0,0.0
AC CE BJT Actorial,FAMILY,4.3,1.0,1.4,50,Paid,2.0,Everyone,Education,2.4,1.6 and up,100.0,0,0.0
CE Genius Nurses Edition,MEDICAL,4.3,0.0,5.1,1,Paid,3.99,Everyone,Medical,1.5,4.0.3 and up,3.99,0,0.0
Squeezy CF,MEDICAL,4.3,0.0,1.4,10,Paid,2.99,Everyone,Medical,1.2.11,4.0 and up,29.900000000000002,0,0.0
Dive-Store.ch,SPORTS,4.3,0.0,6.3,5,Paid,1.99,Everyone,Sports,2.0.4,4.0 and up,9.95,0,0.0
"Reading Race 1b: sh, ch words",FAMILY,4.3,2.0,76.0,50,Paid,3.99,Everyone,Educational;Education,1.01,4.0 and up,199.5,4,0.0
Speech Therapy: CH,FAMILY,4.3,0.0,14.0,10,Paid,1.99,Everyone,Education,1.0,2.3.3 and up,19.9,0,0.0
ch-mm Dict,BOOKS_AND_REFERENCE,4.3,0.0,1.4,10,Paid,1.96,Everyone,Books & Reference,1.0,2.3 and up,19.6,0,0.0
CI 174 Gray Icon Pack,PERSONALIZATION,5.0,1.0,46.0,10,Paid,0.99,Everyone,Personalization,1.1,4.1 and up,9.9,4,0.0
All-night drugstore CI & Price,HEALTH_AND_FITNESS,4.3,0.0,5.1,10,Paid,0.99,Everyone,Health & Fitness,3.0.2.0,1.6 and up,9.9,0,0.0
CI Attendance,PRODUCTIVITY,4.3,0.0,0.172,5,Paid,0.99,Everyone,Productivity,1.0.0,3.1 and up,4.95,0,0.0
F*ck This Game,GAME,4.6,8.0,6.3,100,Paid,0.99,Teen,Action,1.0.0,2.3 and up,99.0,0,0.0
211:CK,GAME,5.0,8.0,38.0,10,Paid,0.99,Teen,Arcade,1.3,4.1 and up,9.9,4,0.0
USMLE Step 2 CK Flashcards,FAMILY,5.0,1.0,40.0,10,Paid,19.99,Everyone,Education,2.47,2.2 and up,199.89999999999998,4,0.0
FREE CHATS C.L.,COMMUNICATION,4.3,4.0,3.4,10,Paid,0.99,Mature 17+,Communication,11,4.0.3 and up,9.9,0,0.0
OMEGA Black UI Theme - CM 12+,PERSONALIZATION,4.2,12.0,19.0,100,Paid,0.99,Everyone,Personalization,1.0,5.0 and up,99.0,0,0.0
Wuwu & Co.,FAMILY,4.3,9.0,77.0,100,Paid,2.99,Everyone,Books & Reference;Creativity,2.49,4.1 and up,299.0,4,0.0
UFO-CQ,TOOLS,4.3,1.0,0.237,10,Paid,0.99,Everyone,Tools,Varies with device,2.0 and up,9.9,0,0.0
10 WPM Amateur ham radio CW Morse code trainer,COMMUNICATION,3.5,10.0,3.8,100,Paid,1.49,Everyone,Communication,2.1.4,2.1 and up,149.0,0,0.0
25WPM Amateur ham radio Koch CW Morse code trainer,TOOLS,4.3,0.0,3.7,10,Paid,1.49,Everyone,Tools,2.0.3,2.1 and up,14.9,0,0.0
DCUO|CR Calculator Pro,TOOLS,4.6,82.0,1.7,500,Paid,0.99,Everyone,Tools,3.3,3.0 and up,495.0,3,0.0
Servidor Privado CR y CoC - Royale Servers PRO,TOOLS,4.3,55.0,4.3,100,Paid,1.99,Everyone,Tools,1.0.3,2.3 and up,199.0,3,0.0
Jetting for Honda CR dirt bike,SPORTS,4.1,7.0,3.4,100,Paid,3.49,Everyone,Sports,2.2,3.0 and up,349.0,0,0.0
Jeppesen CR Flight Computer,MAPS_AND_NAVIGATION,3.3,3.0,26.0,100,Paid,9.99,Everyone,Maps & Navigation,1.0.8,4.4 and up,999.0,0,0.0
Asiimov Skin - CS GO Icon Pack,PERSONALIZATION,4.6,26.0,8.5,100,Paid,2.49,Everyone,Personalization,5.0.1,4.0.3 and up,249.00000000000003,0,0.0
CS go bomb simulator,FAMILY,4.3,7.0,28.0,10,Paid,0.99,Everyone,Casual,1.01,4.1 and up,9.9,0,0.0
Emergency Brain CT,MEDICAL,4.3,2.0,19.0,10,Paid,0.99,Everyone,Medical,1.0.0,4.1 and up,9.9,0,0.0
CT-REMOTE,GAME,3.3,19.0,1.6,100,Paid,4.49,Everyone,Action,1.4,2.3 and up,449.0,0,0.0
Abdominal CT Sectional Walker,MEDICAL,4.3,2.0,23.0,100,Paid,9.99,Everyone,Medical,1.1,4.0 and up,999.0,0,0.0
CT and XR Dose Calculator,MEDICAL,4.3,3.0,0.097,50,Paid,0.99,Everyone,Medical,2014.01,1.6 and up,49.5,0,0.0
Chest CT Sectional Walker,MEDICAL,4.3,2.0,20.0,100,Paid,9.99,Everyone,Medical,1.1,4.0 and up,999.0,0,0.0
Radiological Anatomy For FRCR1,MEDICAL,4.8,12.0,44.0,100,Paid,6.99,Everyone,Medical,1.3,4.0 and up,699.0,4,0.0
2 Amateur ham radio CW Morse code practice keys TX,COMMUNICATION,4.8,6.0,3.5,100,Paid,1.49,Everyone,Communication,1.0.9,1.6 and up,149.0,0,0.0
